gender,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,1,0,1,0,0,0,0,1,29.85,0.5677745791997965,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,34,1,0,1,0,0,0,0,56.95,0.2844082459908046,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0,0,0,2,1,1,0,0,0,0,1,53.85,0.4581372233693329,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,0,45,1,0,1,1,0,0,0,42.3,0.28564998031972344,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,2,0,0,0,0,0,0,1,70.7,0.43303825520061623,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,8,0,0,1,0,1,1,1,99.65,0.3268287370841325,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,22,0,1,0,0,1,0,1,89.1,0.28293271890653,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,10,1,0,0,0,0,0,0,29.75,0.3860908249289317,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,0,28,0,0,1,1,1,1,1,104.8,0.26264985296866583,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,62,1,1,0,0,0,0,0,56.15,0.25678616711016305,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,1,1,13,1,0,0,0,0,0,1,49.95,0.34554518736600975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,0,16,0,0,0,0,0,0,0,18.95,0.3810245791121109,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,0,1,0,58,0,0,1,0,1,1,0,100.35,0.23673434055337036,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,0,49,0,1,1,0,1,1,1,103.7,0.24153573944634166,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,25,1,0,1,1,1,1,1,105.5,0.2682137168522406,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,69,1,1,1,1,1,1,0,113.25,0.22409900885180012,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,0,52,0,0,0,0,0,0,0,20.65,0.3150341243301839,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,0,0,1,71,1,0,1,0,1,1,0,106.7,0.22662189942352284,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,1,10,0,0,1,1,0,0,0,55.2,0.35170594929768,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,21,0,1,1,0,0,1,1,90.05,0.28508108928302744,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,0,1,0,0,1,0,0,1,1,39.65,0.541534506126078,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,0,12,0,0,0,0,0,0,0,19.8,0.41274825415049515,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
